IDKABKOT,mean,sd,ci_lower,ci_upper,rse_pct,mse,rmse
1571,0.03354495334532033,0.0034508403378096506,0.027024294541818338,0.04031272528640672,10.28721161805121,1.1908299037054225e-05,0.0034508403378096506
1572,0.04781557866576789,0.005064844971010988,0.038384783932909367,0.05818760939082654,10.592457756109956,2.56526545803753e-05,0.005064844971010988
1601,0.01585725601501153,0.002485348998159957,0.011162191681558508,0.020733742278641137,15.673260214801104,6.176959642654703e-06,0.002485348998159957
1602,0.025632534921417274,0.0030627638637442936,0.019925461721287823,0.03171531323876022,11.94873574983487,9.380522485057874e-06,0.0030627638637442936
1603,0.023086806000051894,0.002864563642350751,0.01764166535470506,0.02869706340476168,12.40779535438688,8.205724861077801e-06,0.002864563642350751
1604,0.016061476158071877,0.002501673476802192,0.01156076328270733,0.021264835904336123,15.575613674493722,6.258370184535569e-06,0.002501673476802192
1605,0.01374952124079024,0.002590694956150019,0.008776581966715949,0.018763304226350922,18.842073922285323,6.711700355821149e-06,0.002590694956150019
1606,0.017963557506797755,0.002681962151030681,0.012797318958043445,0.02311738224704046,14.93001678546009,7.192920979561117e-06,0.002681962151030681
1607,0.01284446805346441,0.002093632358158685,0.009020010356248156,0.017113067515991134,16.29987594226598,4.3832964511290946e-06,0.002093632358158685
1608,0.01016340513392561,0.00217443342735484,0.00617191761888925,0.01457685662997979,21.394733346765307,4.728160729998116e-06,0.00217443342735484
1609,0.04151387424259806,0.004097186939814113,0.033530825922056945,0.04945944694546338,9.869440071699987,1.6786940819783338e-05,0.004097186939814113
1610,0.01858996586282616,0.002719488278036554,0.013424831929554739,0.024082893529781695,14.628796513686124,7.395616494378221e-06,0.002719488278036554
1611,0.009095289799791541,0.002140000872604566,0.005377421534879154,0.013643359537343303,23.52867164995241,4.579603734748304e-06,0.002140000872604566
1612,0.006460315903393571,0.001728132894991332,0.0033981537152090358,0.009971990387076307,26.749975091520717,2.986443302751122e-06,0.001728132894991332
1613,0.0056992316613016895,0.0016581151790354151,0.002771710693585409,0.009080807280834836,29.093661699947564,2.749345946947647e-06,0.0016581151790354151
1671,0.03535513167477242,0.0032766518157093653,0.02905453893593625,0.0418041942665007,9.267825236378382,1.073644712139148e-05,0.0032766518157093653
1672,0.042983830704268554,0.004449827917070087,0.034162052457083994,0.051623272666136505,10.352329804398268,1.9800968491536314e-05,0.004449827917070087
1673,0.012550575140743246,0.0024326412774617443,0.007990649760936889,0.017338715319239806,19.382707566640512,5.917743584810706e-06,0.0024326412774617443
