"IDKABKOT","NAMA_KAB","est_prop","rse_prop","n","y","proporsi_R704AK2","proporsi_R704BK2","proporsi_R704CK2","proporsi_R704DK2","proporsi_R704EK2","proporsi_R704FK2","proporsi_R704GK2","proporsi_R704HK2","proporsi_R704IK2","proporsi_R704JK2","proporsi_R704KK2","proporsi_R704LK2","proporsi_R704MK2","proporsi_R705A","proporsi_R705B","proporsi_R705C","proporsi_R705D","proporsi_R705E","proporsi_R706A1","proporsi_R706A2","proporsi_R706B","proporsi_R706C","proporsi_R706D","proporsi_R805A","proporsi_R805B","proporsi_R805C","proporsi_R805D","proporsi_R805E","proporsi_R805F","proporsi_R805G","proporsi_R805H","proporsi_R805I"
"1674","LUBUKLINGGAU",0.0281856562936376,28.3601564110944,2097,62,0.0833333333333333,0.0138888888888889,0.0138888888888889,0.152777777777778,0.277777777777778,0.222222222222222,0.472222222222222,0.0416666666666667,0.75,0.513888888888889,0,0.388888888888889,0.138888888888889,1,1,0,0.805555555555556,1,0.430555555555556,0.277777777777778,0.0972222222222222,0.916666666666667,0.819444444444444,0.333333333333333,0.361111111111111,0.375,0.458333333333333,0.402777777777778,0.527777777777778,0.263888888888889,0,0.0833333333333333
"1701","BENGKULU SELATAN",0.0241407917586527,32.2632232540774,1999,55,0.0126582278481013,0,0.0316455696202532,0.0569620253164557,0.265822784810127,0.0316455696202532,0.113924050632911,0,0.278481012658228,0.411392405063291,0.0379746835443038,0.139240506329114,0.0506329113924051,1,1,0.0126582278481013,0.955696202531646,1,0.0886075949367089,0.0949367088607595,0.069620253164557,0.873417721518987,0.854430379746835,0.354430379746835,0.544303797468354,0.487341772151899,0.392405063291139,0.683544303797468,0.69620253164557,0.658227848101266,0.107594936708861,0.0949367088607595
"1702","REJANG LEBONG",0.0158374422849781,44.2560271155587,2005,33,0.0192307692307692,0,0.0705128205128205,0.0705128205128205,0.198717948717949,0.0384615384615385,0.153846153846154,0.00641025641025641,0.66025641025641,0.269230769230769,0,0.134615384615385,0.0384615384615385,1,0.993589743589744,0.0448717948717949,0.794871794871795,1,0.102564102564103,0.134615384615385,0.032051282051282,0.846153846153846,0.794871794871795,0.423076923076923,0.474358974358974,0.378205128205128,0.365384615384615,0.596153846153846,0.711538461538462,0.564102564102564,0.0384615384615385,0.0512820512820513
"1703","BENGKULU UTARA",0.0488566451318479,26.5845967168749,2117,102,0.0181818181818182,0,0.0272727272727273,0.0772727272727273,0.390909090909091,0.0272727272727273,0.145454545454545,0,0.454545454545455,0.204545454545455,0.354545454545455,0.1,0.0590909090909091,1,0.995454545454545,0.0227272727272727,0.686363636363636,0.986363636363636,0.118181818181818,0.1,0.05,0.95,0.718181818181818,0.390909090909091,0.372727272727273,0.409090909090909,0.363636363636364,0.609090909090909,0.686363636363636,0.495454545454545,0.00909090909090909,0.118181818181818
"1704","KAUR",0.0102676272165564,46.4448097989566,1961,24,0.00512820512820513,0,0.0256410256410256,0.0615384615384615,0.0974358974358974,0.0153846153846154,0.0923076923076923,0,0.235897435897436,0.0974358974358974,0.0102564102564103,0.0615384615384615,0.0205128205128205,1,1,0,0.912820512820513,0.994871794871795,0.0666666666666667,0.112820512820513,0.0256410256410256,0.702564102564103,0.548717948717949,0.353846153846154,0.374358974358974,0.323076923076923,0.312820512820513,0.487179487179487,0.553846153846154,0.405128205128205,0.0205128205128205,0.041025641025641
"1705","SELUMA",0.044720440099407,37.1240892978825,1904,54,0.00495049504950495,0,0.0198019801980198,0.0891089108910891,0.202970297029703,0.0099009900990099,0.0544554455445545,0,0.52970297029703,0.143564356435644,0.237623762376238,0.099009900990099,0.00495049504950495,1,1,0.0297029702970297,0.435643564356436,1,0.0396039603960396,0.0346534653465347,0.0148514851485149,0.811881188118812,0.485148514851485,0.465346534653465,0.50990099009901,0.391089108910891,0.51980198019802,0.554455445544555,0.628712871287129,0.495049504950495,0.0247524752475248,0.0594059405940594
"1706","MUKOMUKO",0.0371454726533135,32.6254569182146,2123,83,0.0131578947368421,0,0.0394736842105263,0.0789473684210526,0.276315789473684,0.0263157894736842,0.184210526315789,0,0.631578947368421,0.381578947368421,0.177631578947368,0.190789473684211,0.125,1,0.993421052631579,0.0789473684210526,0.598684210526316,0.986842105263158,0.138157894736842,0.157894736842105,0.0855263157894737,0.953947368421053,0.710526315789474,0.322368421052632,0.302631578947368,0.368421052631579,0.453947368421053,0.578947368421053,0.631578947368421,0.302631578947368,0.0197368421052632,0.0723684210526316
"1707","LEBONG",0.0204054279046552,35.35178985944,1798,39,0.00961538461538462,0,0.0192307692307692,0.105769230769231,0.201923076923077,0.00961538461538462,0.0961538461538462,0,0.548076923076923,0.0961538461538462,0.00961538461538462,0.134615384615385,0.0288461538461538,1,1,0,0.951923076923077,1,0.0769230769230769,0.0961538461538462,0.0288461538461538,0.75,0.730769230769231,0.432692307692308,0.461538461538462,0.384615384615385,0.451923076923077,0.490384615384615,0.663461538461538,0.432692307692308,0.0384615384615385,0.0288461538461538
"1708","KEPAHIANG",0.0644556976074504,25.3433525275759,1832,96,0.0170940170940171,0,0.0598290598290598,0.0598290598290598,0.256410256410256,0.0512820512820513,0.102564102564103,0,0.692307692307692,0.273504273504274,0,0.0512820512820513,0.0341880341880342,1,1,0.0170940170940171,0.760683760683761,0.991452991452991,0.0769230769230769,0.111111111111111,0.0427350427350427,0.829059829059829,0.709401709401709,0.316239316239316,0.495726495726496,0.427350427350427,0.273504273504274,0.623931623931624,0.658119658119658,0.512820512820513,0.0341880341880342,0.0854700854700855
"1709","BENGKULU TENGAH",0.0428171213372193,29.2489306888235,1860,70,0.00699300699300699,0,0.027972027972028,0.111888111888112,0.223776223776224,0.020979020979021,0.0699300699300699,0,0.447552447552448,0.356643356643357,0,0.0979020979020979,0.034965034965035,1,0.979020979020979,0.125874125874126,0.685314685314685,1,0.041958041958042,0.0559440559440559,0.027972027972028,0.776223776223776,0.594405594405594,0.286713286713287,0.34965034965035,0.321678321678322,0.272727272727273,0.503496503496504,0.566433566433566,0.363636363636364,0.013986013986014,0.0979020979020979
